"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14115","simple alert","chromium","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","4327","radio button","webkit","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","6384","checkbox","firefox","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","3284","single select dropdown","chromium","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","5","test2","firefox","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","13968","simple alert","firefox","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","3702","built-in assertion","webkit","2025-12-25","passed","2025-12-25","","assertion.spec.js","",""
"","3160","multi select dropdown","chromium","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","4017","checkbox","webkit","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","4263","get started link","firefox","2025-12-25","passed","2025-12-25","","example.spec.js","",""
"","7362","confirmation alert","webkit","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","8","test1","chromium","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","6389","single select dropdown","firefox","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","6","test3","firefox","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","5","test3","chromium","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","7450","multiple checkout","firefox","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","1756","list of countries","chromium","2025-12-25","passed","2025-12-25","","google.spec.js","",""
"","1392","get started link","chromium","2025-12-25","passed","2025-12-25","","example.spec.js","",""
"","5334","dropdown","chromium","2025-12-25","passed","2025-12-25","","doubt.spec.js","",""
"","5426","radio button","firefox","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","7370","simple alert","webkit","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","3461","checkbox","chromium","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","14417","prompt alert","chromium","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","11","test1","webkit","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","7535","prompt alert","webkit","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","6","test2","chromium","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","8","test4","firefox","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","5594","multi select dropdown","firefox","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","8","test4","chromium","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","4","test5","firefox","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","2733","has title","firefox","2025-12-25","passed","2025-12-25","","example.spec.js","",""
"","2539","get started link","webkit","2025-12-25","passed","2025-12-25","","example.spec.js","",""
"","12304","built-in assertion","firefox","2025-12-25","passed","2025-12-25","","assertion.spec.js","",""
"","2744","list of countries","webkit","2025-12-25","passed","2025-12-25","","google.spec.js","",""
"","3354","single select dropdown","webkit","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","5","test2","webkit","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","4172","iframe","chromium","2025-12-25","passed","2025-12-25","","iframe.spec.js","",""
"","3311","radio button","chromium","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","4652","multiple checkout","webkit","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","8","test5","chromium","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","11226","built-in assertion","chromium","2025-12-25","passed","2025-12-25","","assertion.spec.js","",""
"","5350","iframe","webkit","2025-12-25","passed","2025-12-25","","iframe.spec.js","",""
"","8466","dropdown","firefox","2025-12-25","passed","2025-12-25","","doubt.spec.js","",""
"","5366","list of countries","firefox","2025-12-25","passed","2025-12-25","","google.spec.js","",""
"","3792","multiple checkout","chromium","2025-12-25","passed","2025-12-25","","checkbox.spec.js","",""
"","14021","prompt alert","firefox","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","2988","multi select dropdown","webkit","2025-12-25","passed","2025-12-25","","dropdown.spec.js","",""
"","5","test1","firefox","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","9","test5","webkit","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","14869","confirmation alert","firefox","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","5225","iframe","firefox","2025-12-25","passed","2025-12-25","","iframe.spec.js","",""
"","6","test4","webkit","2025-12-25","passed","2025-12-25","group2","group.spec.js","",""
"","7462","dropdown","webkit","2025-12-25","passed","2025-12-25","","doubt.spec.js","",""
"","1393","has title","webkit","2025-12-25","passed","2025-12-25","","example.spec.js","",""
"","5","test3","webkit","2025-12-25","passed","2025-12-25","group1","group.spec.js","",""
"","14229","confirmation alert","chromium","2025-12-25","passed","2025-12-25","","alert.spec.js","",""
"","783","has title","chromium","2025-12-25","passed","2025-12-25","","example.spec.js","",""
